	13	Ava		1995		  3
	14	Mia		1995		  1
	15	Sophia		2002		  3
	16	Olivia		1999		  4
	17	Mia		2003		  3
	18	Oliver		1995		  2
	19	Oliver		1998		  1
	20	James		1999		  2
	21	Amelia		1997		  4
	22	Sophia		1998		  1
	23	Emma		1996		  2
	24	Harper		1997		  1
	25	Lucas		1995		  2
	26	Ava		2000		  1
	27	Elijah		2000		  2
	28	Mia		1997		  1
	29	Ava		2001		  2
	30	Emma		1997		  3
	31	Lucas		2001		  2
	32	William		1996		  3
	33	Lucas		2002		  1
	34	Elijah		2000		  3
	35	Ava		2002		  2
	36	William		1998		  2
